ISBN,Book-Author,Year-Of-Publication
199,joanna trollope,2002
200,sue townsend,2002
201,milan kundera,2000
204,james patterson,2003
205,james patterson,2002
206,richard north patterson,1994
207,michael crichton,1995
208,richard north patterson,2001
210,arthur golden,1997
211,kent haruf,2000
212,patricia d. cornwell,1992
213,patricia d. cornwell,1993
215,kathleen e. woodiwiss,1997
216,kathleen e. woodiwiss,1999
217,belva plain,1998
218,john grisham,2000
219,john grisham,2003
220,mark haddon,2003
221,john grisham,2003
222,ann brashares,2003
223,erich segal,1998
225,james patterson,2001
226,nicholas sparks,2001
227,john saul,2002
228,lorna landvik,1996
229,stephen king,1994
230,steve thayer,2000
231,tracy chevalier,2001
232,judith kelman,2002
233,michael palmer,2001
235,norman bridwell,1996
236,patricia cornwell,1998
237,dan brown,2002
238,frank mccourt,1999
239,dan brown,2003
240,malachy mccourt,1998
242,anne perry,1998
243,alexander mccall smith,2004
244,jack canfield,1993
245,gregory maguire,1996
246,yann martel,2002
248,al franken,2003
249,donna tartt,1993
250,jack canfield,1996
252,anita shreve,2001
253,terry pratchett,2002
254,terry pratchett,2002
260,terry pratchett,1998
261,terry pratchett,1997
262,terry pratchett,1997
263,louise rennison,2002
264,jane austen,1994
266,bernard cornwell,1997
267,charles de lint,1994
268,edward john moreton drax plunkett dunsany,1999
269,georgette heyer,2004
270,oscar wilde,1998
273,philip pullman,2002
274,philip pullman,2002
275,philip pullman,2002
276,sue townsend,1997
277,ray bradbury,1997
279,a. s. byatt,1990
280,tanuja desai hidier,2003
281,sophie kinsella,2003
282,isabel wolff,2000
283,louisa may alcott,1988
284,jane austen,1996
285,george orwell,2004
286,charles dickens,2001
287,isabel allende,1989
288,barbara kingsolver,0
291,a.s. byatt,1994
292,joseph heller,1996
294,enid blyton,2002
297,alan moore,2003
299,alan moore,2002
300,neil gaiman,2002
302,tom wolfe,1998
303,brady udall,2002
304,homer hickam,1999
305,john grisham,2001
306,pearl abraham,1996
307,thomas hardy,1997
308,sebastian junger,1999
311,david brin,1990
314,lynda madaras,1987
320,john darnton,1997
321,martin schenk,1999
322,david eddings,1999
323,paul reiser,1998
325,dave barry,1997
327,theodore beale,2000
328,frank m. robinson,2000
330,mary wollstonecraft shelley,1994
334,patricia cornwell,1992
335,douglas adams,1992
336,a. manette ansay,1998
337,sarah waters,2002
338,anne frank,2000
340,greg palast,2003
341,tom clancy,1990
343,nevada barr,2000
344,paul auster,1996
346,margaret maron,1999
349,john irving,1996
350,golding,0
354,roald dahl,2000
355,sue monk kidd,2003
357,dan brown,2003
358,colleen mccullough,1988
359,joanne harris,2001
360,john grisham,1991
361,thomas cahill,1996
362,john grisham,1993
365,dick francis,1985
366,dick francis,1990
367,nora roberts,2000
368,douglas adams,1992
369,jean marzollo,1992
370,walter wick,1996
371,barbara delinsky,2000
374,barbara delinsky,2003
375,christopher rice,2004
376,rex stout,2000
377,joan anderson,2000
382,barry neil kaufman,1994
387,richard bach,1976
388,kevin sullivan,1996
389,michele morgan,2002
390,"scott"","" cunningham",1989
392,richard webster,1998
393,bernard king,2000
395,william shakespeare,2001
396,melissa mcclone,2003
397,cheryl st. john,2003
398,lewis carroll,2000
399,mary higgins clark,1997
402,dog mary crow,1991
403,sebastian junger,1998
406,alice sebold,2002
408,thomas harris,2000
409,edward rutherfurd,1998
410,margaret atwood,1990
411,dorothy allison,1999
412,margaret atwood,1995
415,mary brave bird,1993
419,james mccourt,2002
420,elizabeth wurtzel,1997
421,bill bradley,2000
422,don miguel ruiz,1997
430,carmen rico-godoy,1990
434,leo tolstoy,1997
438,marc gascoigne,1996
440,sandra dallas,2001
441,piers anthony,1982
442,piers anthony,1985
443,anne mccaffrey,1991
445,laura zigman,2000
446,john grisham,1992
447,margaret truman,1990
448,nic kynaston,2000
449,paula danziger,1997
451,carrie bebris,2001
454,sam bobrick,1994
456,charles dickens,1989
457,donna k grosvenor,1975
458,mary wollstonecraft shelley,1992
459,nathaniel hawthorne,1965
460,anne mccaffrey,1977
463,luanne rice,2000
464,alice sebold,2004
465,t. coraghessan boyle,1996
467,john irving,1999
469,richard russo,2002
470,margaret atwood,2003
471,jostein gaarder,1997
472,anna quindlen,1999
473,diane johnson,1997
474,dean koontz,2003
475,wally lamb,1998
476,adeline yen mah,1999
477,barbara ehrenreich,2002
478,dorothy dunnett,1997
479,john le carre,1990
481,olivia goldsmith,1996
486,lorraine anderson,1991
487,tim lahaye,1996
488,ad hudler,2002
489,josephine carlton,2002
490,ted l. nancy,1999
492,stephen king,2001
493,joyce reardon,2001
494,sidney sheldon,2001
496,mary higgins clark,2002
498,tim dorsey,2000
499,jodi compton,2003
500,elmore leonard,2000
502,lynn coady,2002
503,john lawton,2003
506,barbara kingsolver,1989
510,tony hillerman,1990
512,anita diamant,1998
513,lauren haney,1997
514,gerald stern,2000
516,patricia daniels cornwell,2001
517,maeve binchy,2001
518,martha grimes,2002
520,sarah orne jewett,1994
523,edith wharton,1996
525,mil millington,2003
530,akiba rubinstein,1941
531,emma mclaughlin,2002
535,"mark e."","" jr. neely",1993
539,alfie kohn,1995
543,adele lang,2002
545,patricia daniels cornwell,1993
546,catherine coulter,1996
547,dominick dunne,1991
548,clive cussler,1996
549,mary higgins clark,1990
551,carl hiaasen,2001
552,jonathan safran foer,2002
553,yann martel,2003
555,julia glass,2003
556,tawni o'dell,2001
557,jennifer weiner,2002
558,danielle steel,2001
564,nora roberts,1996
565,karen robards,2001
567,dean r. koontz,2002
568,faye kellerman,2002
569,jacquelyn mitchard,1999
570,nora roberts,2000
571,jane smiley,1992
572,diane mott davidson,2002
573,candace bushnell,2001
574,nora roberts,2003
575,kristin hannah,2002
576,michael marshall,2002
578,john grisham,1998
579,john grisham,1994
580,wilbur smith,2002
581,mike thaler,1989
582,john grisham,1997
583,michael slade,1998
584,john sandford,2004
585,tami hoag,1997
586,tami hoag,1995
587,mary higgins clark,2004
588,ted dekker,2003
591,c. s. lewis,1988
593,william eisner,1986
594,robin cook,2000
595,ann rule,2000
597,linda goodman,1981
598,anne rice,1986
599,anne rice,1991
600,judith rossner,1991
601,marilyn french,1990
604,julie morgenstern,1998
605,peter straub,1996
606,jack,1993
607,danielle steel,1993
609,lisa jackson,2004
610,sharyn mccrumb,1992
611,kay hooper,2000
612,mary higgins clark,2002
616,justine korman,1996
617,patricia reilly giff,1987
619,k. a. applegate,1999
622,marvin miller,1989
626,mercedes lackey,1995
627,mercedes lackey,1992
629,moveon,2004
630,mercedes lackey,1990
632,charles frazier,2003
634,julia spencer-fleming,2004
635,fannie flagg,1992
636,laura ingall wilder,0
637,frank mccourt,1999
638,lisa gardner,2002
639,beverly cleary,1990
641,julia spencer-fleming,2003
642,philip pullman,2001
643,philip pullman,1998
644,philip pullman,1998
646,sharyn mccrumb,1991
647,sharyn mccrumb,1997
649,eric schlosser,2002
650,suzanne brockmann,2000
653,frances kuffel,2004
654,susan conant,1994
655,david schickler,2002
656,maeve binchy,1989
657,judith mcnaught,2003
658,ray bradbury,1989
659,janet evanovich,1995
662,richard north patterson,1999
663,fern michaels,2003
664,fern michaels,2003
666,bruce sterling,1994
667,james patterson,1993
668,sarah ban breathnach,1995
669,alice hoffman,2001
671,spencer johnson,1998
676,james burke,1996
678,sara paretsky,1996
680,elizabeth benedict,2002
681,henry miller,1962
684,martha beck,2000
687,jack kerouac,1998
688,martin buber,1971
690,paul monette,1993
691,ernest hemingway,1995
692,melody carlson,2000
694,billie letts,1998
695,melissa bank,2000
697,moon unit zappa,2001
700,gwyn hyman rubio,2001
701,elisabeth robinson,2004
702,audrey niffenegger,2003
703,anita shreve,1999
704,tim farrington,2002
705,mark salzman,1996
706,chaim potok,1996
707,scott spencer,2000
708,chaim potok,1990
709,chaim potok,1997
713,alain-fournier,2000
714,erich maria remarque,1973
715,lewis,2000
725,sten nadolny,1987
732,jane austen,1994
733,hera lind,1999
735,dan brown,2003
736,nicholas sparks,2000
737,jane hamilton,1999
739,helen fielding,2000
740,a. manette ansay,1999
741,anita shreve,1999
743,dave barry,2002
744,david guterson,1994
745,john grisham,2001
746,bernhard schlink,1997
747,eric jerome dickey,1999
748,kristin hannah,2000
750,mary higgins clark,2002
751,barbara delinsky,2000
752,richard paul evans,1999
753,marc levy,2000
754,laney katz becker,2000
755,john irving,1999
756,vladimir nabokov,1993
757,nicholas sparks,1998
758,jennifer lauck,2000
759,richard north patterson,2000
760,joe keenan,1988
761,jeanne ray,2000
762,nicholas sparks,2003
763,nicholas sparks,2002
764,tony parsons,2001
766,laura esquivel,1992
767,j.r.r. tolkien,1986
768,venise t. berry,2000
769,sebastian junger,1997
770,nora roberts,2001
771,jan karon,2002
772,cormac mccarthy,1992
773,james patterson,2001
774,mary higgins clark,2001
775,james patterson,2002
776,richard paul evans,2000
777,travis thrasher,2000
778,john mcenroe,2002
779,barbara delinsky,1999
781,sally mandel,2000
782,linda lay shuler,1993
783,paul theroux,1984
787,lemony snicket,1999
789,boris vian,1999
790,gabriel garcia marquez,1987
793,david lodge,1996
796,iain banks,0
797,jacob weisberg,2001
798,david crombie,2000
800,michael o'mara,2000
801,richard brassey,2003
802,jean van hamme,1999
805,bernard werber,2002
807,allan zola kronzek,2001
809,gordon jarvie,1997
811,alan spence,2002
812,helene siegel,1995
813,e.h. shepard,2002
815,eric thompson,1998
816,elizabeth strout,1999
817,russell banks,1996
818,david sedaris,2001
819,leslie feinberg,1993
820,neil gaiman,2001
821,chris anne wolfe,2001
822,lauren sanders,2000
826,jean stewart,1992
830,dorothy allison,1994
831,jill thompson,2003
832,jody seay,1999
833,manda scott,1999
834,manda scott,1999
835,dean r. koontz,1994
836,jeff foxworthy,1997
837,terry brooks,1993
838,a.c. crispin,1998
839,a. c. crispin,1998
840,a. c. crispin,1998
842,tamora pierce,1989
843,carolyn chute,1986
845,dean r. koontz,1994
846,melisa michaels,1997
849,vonda mcintyre,1986
852,christopher rice,2001
853,nicola griffith,1996
854,jane lindskold,1998
855,julie campbell,1977
857,lee smith,1996
858,jacqueline woodson,2000
862,thomas harris,1999
863,nick hornby,2002
864,douglas adams,2000
865,colleen mccullough,1998
866,stephen king,2001
869,marian babson,2002
870,w. michael gear,1992
871,dean r. koontz,2002
873,peter hoeg,1997
874,erma bombeck,1988
880,karen hesse,1998
881,kenneth oppel,2001
882,carol ryrie brink,1999
885,c. s. lewis,1994
887,diane duane,2001
888,diane duane,2001
889,diane duane,2001
890,carolee brockmann,1999
893,rachel roberts,2000
895,rachel roberts,2002
896,lensey namioka,2000
899,douglas adams,1995
900,lois lowry,1994
902,alain stella,2001
906,ken follett,1992
907,stephen donaldson,1990
908,stephen r. donaldson,1987
909,bernhard schlink,0
910,stephen king,2004
911,ellen rimbauer,2002
916,michael a. stackpole,2000
917,douglas adams,1990
919,anne perry,2001
920,carol matthews,2003
921,carole matthews,2002
922,jacqueline l. tobin,2000
923,marion zimmer bradley,1995
930,tom clancy,2000
932,v. a howard,1986
933,tom clancy,1999
934,john grisham,1999
938,john grisham,1992
940,kate chopin,1982
943,tom clancy,1992
946,richard peck,1981
947,michael connelly,2003
948,judith mcnaught,1991
949,lilian jackson braun,1998
950,john t. lescroart,1998
951,john jakes,2001
952,alice mcdermott,1999
957,margaret truman,2001
958,richard north patterson,1999
960,danielle steel,2000
962,catherine coulter,2004
963,piers anthony,1992
965,walter cronkite,1996
966,tom mula,1995
969,sir arthur conan doyle,2000
970,agatha christie,1983
971,mark cohen,2004
973,helen myers,2002
976,elizabeth peters,2002
978,emily bronte,1983
979,sidney sheldon,1993
980,robin cook,1999
982,john a. keel,2002
983,stefanie scott,1998
985,meg cabot,2003
986,tanith lee,1999
989,tami hoag,1994
990,jeffrey eugenides,2003
997,john grisham,1996
999,helen brooks,2003
1000,blanche fisher wright,1994
1001,robin cook,1998
1003,dean r. koontz,1994
1005,michael chabon,2001
1006,barbara michaels,1993
1007,barbara michaels,1996
1009,norton juster,1993
1010,michael blake,1990
1012,carl hiaasen,2002
1013,carole nelson douglas,1993
1014,william goldman,1987
1016,mark bowden,1999
1028,michael palmer,1995
1029,richard north patterson,1995
1030,emily bronte,1994
1031,jane austen,1994
1032,alain de botton,2002
1033,douglas adams,1991
1034,chuck palahniuk,1999
1035,emily bronte,1983
1036,annie proulx,1994
1037,adam davies,2002
1038,harry m. walker,1996
1039,nicholas evans,2001
1041,piers anthony,1987
1042,l.m. montgomery,1982
1046,charles bukowski,1980
1047,jack kerouac,1998
1048,haruki murakami,1993
1049,haruki murakami,2000
1051,patricia c. wrede,1995
1054,patricia c. wrede,1994
1056,ann-marie macdonald,2002
1057,iris johansen,2002
1058,lisa gardner,2003
1062,belva plain,1998
1063,sue miller,1999
1064,sheri s. tepper,1990
1065,dr seuss,1960
1070,john irving,1997
1071,ernest hemingway,1995
1076,b kliban,1975
1078,william trevor,1996
1079,alice walker,1993
1080,stephen gazi,0
1081,wallace stegner,1992
1082,don delillo,1991
1083,ralph ellison,1995
1084,isabel allende,1988
1085,isabel allende,1986
1086,shel silverstein,1974
1087,jhumpa lahiri,1999
1088,liz trigg,1995
1089,charles sullivan,1992
1090,rebecca wells,1997
1091,wally lamb,1996
1092,tom robbins,1985
1093,ursula hegi,1997
1096,gabriel garcia marquez,1970
1100,diana gabaldon,1993
1101,david sedaris,1998
1103,natalie goldberg,1986
1104,sue grafton,1994
1105,william j. kennedy,1989
1107,john steinbeck,1976
1112,dale carnegie,1981
1113,clifford stoll,1990
1114,james patterson,1995
1115,stephen king,1983
1116,anne rice,1993
1117,james patterson,1997
1118,anne rice,2001
1119,sandra cisneros,1991
1120,gary paulsen,1999
1122,tanith lee,1998
1125,carl sagan,1997
1126,kimberly kirberger,1999
1127,ariella papa,2002
1130,shannon olson,2001
1132,mary wollstonecraft shelley,1994
1133,karen stolz,2001
1134,clare naylor,1999
1135,stephen chbosky,1999
1137,margaret weis,2002
1140,sylvia nasar,1998
1141,ha jin,2000
1143,harlan ellison,1997
1147,christoph hein,1982
1156,j.r.r. tolkien,1992
1157,j. r. r. tolkien,1992
1159,jack kerouac,1991
1160,neil gaiman,2002
1162,arthur c. clarke,1991
1163,armistead maupin,1989
1167,john myers myers,1985
1170,stephen r. donaldson,1982
1171,stephen r donaldson,1984
1174,stephen donaldson,1978
1175,stephen r. donaldson,1978
1176,peter matthiessen,1991
1179,thomas harris,2000
1180,michael crichton,1999
1185,august wilson,1990
1186,fern michaels,2003
1187,nora roberts,2000
1188,marilynn robinson,1982
1191,amanda scott,1995
1192,neil gaiman,1998
1194,colleen mccullough,1978
1198,jude deveraux,2002
1199,arundhati roy,1997
1200,anne morrow lindbergh,1986
1201,laurie r. king,1996
1202,anita diamant,1997
1204,louise erdrich,1988
1205,melinda haynes,1999
1207,carol shields,1998
1208,alice walker,1974
1209,vladimir vladimirovich nabokov,1989
1210,tim powers,1997
1217,nicholas sparks,2000
1219,jerome d. salinger,1966
1220,hermann hesse,1974
1225,jane feather,1996
1231,lionel fenn,1990
1233,christine rimmer,1992
1235,iain banks,1993
1237,truman capote,1993
1239,darrell scott,2000
1247,thomas hardy,1989
1248,arthur golden,0
1250,ann rule,2002
1251,charles bukowski,1982
1259,claudia keller,1997
1266,chuck palahniuk,2002
1267,chuck palahniuk,2000
1269,christopher moore,2003
1270,hubert selby,1999
1272,gary larson,1994
1274,al franken,1996
1275,berke breathed,1990
1276,barbara ann kipfer,1990
1277,dick francis,1993
1278,stephen fried,2002
1279,patricia c. wrede,1992
1283,cornelia funke,2002
1284,stan lee,1982
1285,camille paglia,1992
1286,james kahn,1983
1288,anne mccaffrey,1979
1289,louisa may alcott,2003
1290,james mcbride,1997
1291,louis sachar,1990
1292,anne mccaffrey,1994
1293,anne mccaffrey,1988
1295,robert asprin,2002
1296,anne frank,1993
1297,georg feverstein,2001
1299,bruce catton,1986
1303,terry brooks,1990
1306,stephen king,1991
1307,larry mcmurtry,1988
1308,sophie kinsella,2002
1309,sophie kinsella,2001
1310,john irving,1986
1312,oliver w. sacks,2002
1314,annette broadrick,2000
1315,barbara ehrenreich,2001
1316,rachel cohn,2003
1319,luanne rice,2002
1320,jayne ann krentz,2002
1321,nora roberts,2002
1324,bryn chandler,1988
1325,tod brewster,2002
1327,howard norman,1998
1331,molly ivins,1993
1332,tony hillerman,1999
1333,forrest carter,1986
1335,greg bear,2000
1336,neil gaiman,1996
1338,sharyn mccrumb,2002
1339,nicholas sparks,1999
1340,kathy reichs,2002
1341,jeffery deaver,1995
1342,nevada barr,2003
1344,v.c. andrews,1994
1346,robin cook,2001
1348,donna fletcher,2002
1350,bari wood,1993
1357,barbara kingsolver,1999
1358,ernest j. gaines,1997
1359,anne lamott,1994
1360,bret lott,1999
1362,jude fisher,2003
1363,salman rushdie,1992
1364,g. p. taylor,2004
1365,bill bryson,0
1366,anne mccaffrey,1996
1367,john steinbeck,2002
1368,philip pullman,2000
1369,philip pullman,1998
1370,philip pullman,1998
1371,john irving,1990
1372,judy astley,2003
1375,enid blyton,1996
1376,james barclay,2003
1377,james barclay,2002
1378,kahlil gibran,1973
1381,tess gerritsen,2003
1382,olive ann burns,1986
1383,betty smith,1998
1384,michael ende,1985
1385,annie proulx,2001
1386,corrie ten boom,1984
1388,marlo schalesky,2003
1389,mark salzman,2003
1390,alexander mccall smith,2003
1391,michael paterniti,2001
1394,steve martin,2001
1395,banana yoshimoto,1994
1396,ann rae jonas,1996
1398,joseph campbell,1988
1403,terry brooks,1995
1404,edwidge danticat,1998
1405,bill bryson,1999
1406,joe r. lansdale,2000
1407,arturo perez-reverte,1996
1409,erik larson,2003
1411,dan millman,1991
1412,jack canfield,1997
1413,amy tan,1992
1414,mark twain,1997
1415,j.r.r. tolkien,1985
1416,ned vizzini,2002
1417,laurie halse anderson,2001
1419,mary mcgarry morris,1996
1424,l. ron hubbard,1988
1425,jeffery deaver,2002
1433,b. k. s. iyengar,1995
1435,john grisham,2002
1436,john grisham,2004
1438,nevada barr,1997
1440,diane muldrow,1999
1442,mollie molay,2003
1444,judy blume,1998
1445,ray bradbury,1998
1447,clive cussler,2002
1449,jack higgins,2001
1450,robert t. bakker,1996
1451,fred saberhagen,1999
1453,michael dimercurio,2000
1456,douglas adams,1984
1459,randall wallace,1995
1461,calvin trillin,2004
1462,rachel simon,2002
1464,carol emshwiller,2002
1465,spider robinson,2001
1466,tom robbins,1995
1467,edith konecky,2001
1468,jan karon,1996
1469,ann patchett,2002
1470,mary higgins clark,1993
1471,william shakespeare,1996
1472,jonathan harr,1996
1473,jennifer crusie,2003
1474,kristin hannah,2000
1475,kristin hannah,2001
1476,luanne rice,1994
1477,ayn rand,1996
1478,nicholas evans,1999
1479,jane austen,1994
1480,jennifer weiner,2002
1481,jane austen,1996
1482,elmore leonard,1998
1483,jane austen,1995
1484,margaret atwood,1998
1485,barbara delinsky,2001
1486,alexandre dumas,1984
1487,dorothy garlock,1999
1488,raymond chandler,1992
1489,mary higgins clark,2000
1490,whitney otto,1992
1491,kaye gibbons,1997
1492,anita shreve,1999
1493,candace bushnell,1997
1494,gabriel garcia marquez,1996
1495,michael cunningham,2000
1496,anita shreve,1997
1497,diane ackerman,1995
1498,margaret atwood,1997
1499,daphne du maurier,1995
1500,susan isaacs,1990
1501,charles frazier,1998
1502,fannie flagg,1989
1503,anne lamott,1995
1505,susan isaacs,1997
1506,jane heller,1998
1507,roald dahl,1990
1508,martha grimes,2003
1509,douglas preston,2003
1510,kim stanley robinson,2003
1511,jack higgins,2003
1512,william safire,1980
1513,leslie glass,2003
1515,anita shreve,2002
1516,mark twain,1994
1517,cathy cash spellman,2000
1518,stephen king,1999
1520,jerry bledsoe,1997
1521,jane sigaloff,2002
1522,marian keyes,2001
1524,melissa rossi,1996
1526,drew barrymore,1991
1527,meg cabot,2001
1529,lori handeland,2002
1532,rebecca winters,2003
1533,margaret way,2003
1534,marisa carroll,2003
1535,tony hillerman,2003
1537,dave eggers,2001
1540,julie miller,2002
1541,oscar wilde,1976
1542,bernard werber,1996
1544,wendy holden,2001
1546,sue margolis,2003
1547,dora levy mossanen,2002
1548,sheri holman,2001
1549,diane johnson,2003
1550,jacqueline susann,1997
1551,sara paretsky,1995
1552,stephanie laurens,2002
1553,jane mendelsohn,1996
1555,j.r.r. tolkien,1986
1556,richard george adams,1975
1557,jasper fforde,2002
1559,ildiko kurthy,2003
1561,kurt vonnegut,1991
1562,veronique vienne,1998
1563,sandor marai,2002
1568,ann rinaldi,1996
1569,scott o'dell,1978
1572,orson scott card,2001
1574,richard awlinson,1989
1575,scott ciencin,1989
1576,john sandford,2004
1577,max allan collins,2002
1578,patricia kennealy-morrison,1998
1579,jeffery deaver,2002
1580,john sandford,1997
1581,kay hooper,2003
1582,kay hooper,2002
1583,julie e. czerneda,1997
1584,mary higgins clark,2000
1585,eva heller,1994
1589,barbara dolan,1994
1593,nora roberts,1999
1594,beatrice sparks,1994
1595,ken follett,1980
1596,peter mayle,1991
1599,douglas kennedy,1998
1600,philip kindred dick,1998
1601,philip k. dick,2000
1602,philip k. dick,2002
1603,dick,2003
1604,philip k. dick,1999
1608,paulo coelho,2002
1609,mark z. danielewski,2002
1611,laurent vicomte,1993
1612,jean bonnefoy,2000
1613,philip k. (philip kindred) dick,1994
1614,philip kindred dick,2000
1615,rene barjavel,0
1620,disney enterprises inc,1998
1621,maida silverman,0
1622,jean giraudoux,2001
1623,nicholas ross,1995
1624,lynne reid banks,1999
1625,h. g. wells,1984
1627,fern michaels,2001
1628,james patterson,1998
1629,dan simmons,1990
1634,katherine applegate,1997
1635,stephen king,2001
1640,anne rice,1991
1642,brian herbert,2000
1644,brian herbert,2000
1651,patrick mcgrath,1997
1653,vincent bugliosi,1991
1657,mary doria russell,1997
1662,victor hugo,1982
1663,mary higgins clark,2000
1664,judy blume,1999
1665,jennifer egan,2002
1666,dodie smith,2003
1668,arlene eisenberg,1996
1669,jane green,2003
1670,gary ezzo,2001
1672,david gardner,2001
1673,arlene eisenberg,1989
1674,joan d. vinge,1984
1678,ann b. ross,2000
1679,adriana trigiani,2001
1684,diana palmer,2002
1685,bernhard schlink,1999
1686,j.r.r. tolkien,2001
1689,lois battle,2002
1690,allen ginsberg,1956
1691,mary wollstonecraft shelley,2000
1693,anne tyler,2002
1694,harper lee,1985
1695,nora roberts,1994
1696,lilian jackson braun,1997
1697,patricia daniels cornwell,1999
1700,catholic church,2000
1705,bill watterson,1988
1708,salman rushdie,1991
1709,leslie meier,2001
1710,janet evanovich,2003
1712,james patterson,2002
1715,alice adams,1993
1717,max frisch,0
1719,thomas pynchon,1997
1725,doris pilkington,2002
1730,jules verne,1998
1732,philip pullman,2003
1734,joe haldeman,1998
1736,anatoli boukreev,1998
1740,william gerald golding,1959
1744,laurell k. hamilton,2003
1746,j. r. r. tolkien,1973
1747,anne rice,2002
1753,hera lind,1995
1756,colm toibin,2001
1757,clive cussler,2001
1759,john grisham,1998
1760,caleb carr,1995
1761,stephen baxter,2000
1762,bill bryson,1997
1763,augusten burroughs,2004
1764,mark dunn,2003
1766,alexander mccall smith,2003
1767,david eddings,2000
1769,susan isaacs,1999
1770,nora roberts,2003
1771,nora roberts,2001
1772,lilian jackson braun,2000
1773,john case,2001
1774,donna woolfolk cross,1996
1775,jon krakauer,1999
1776,jon krakauer,1997
1777,mark haddon,2003
1778,michael ryan,2004
1779,robert k. tanenbaum,1994
1782,john irving,1978
1783,peter j. d'adamo,1996
1785,john grisham,2000
1786,ira levin,1993
1787,john fowles,1998
1788,erma bombeck,1990
1793,chris bohjalian,2000
1794,m. scott peck,1998
1795,m. m. kaye,1997
1796,sharon creech,1996
1800,michael j. rosen,2004
1801,nicholas evans,2002
1802,bill bryson,2000
1804,patricia daniels cornwell,1997
1805,ian mcewan,2002
1806,margaret wise brown,1992
1810,paulo coelho,1995
1812,nuala o'faolain,2001
1815,various authors,2000
1816,osuntoki,1990
1818,burton raffel,2001
1819,terry mcmillan,1995
1821,jimmy stewart,1997
1822,ken wilber,1984
1823,jeffery deaver,2004
1824,bill cosby,1987
1827,douglas adams,1996
1829,adrian mitchell,1986
1830,donald a. davis,1997
1831,jeffery deaver,2003
1832,leslie marmon silko,2000
1833,robert s. root-bernstein,2001
1835,andrew m. greeley,2000
1836,dorothea benton frank,2000
1837,robin cook,2000
1840,beverly jenkins,2002
1841,daniel hecht,1998
1842,patricia daniels cornwell,1999
1843,michael crichton,1992
1844,james patterson,1989
1845,james patterson,2000
1846,james patterson,2002
1849,anne perry,1993
1850,robin a. white,1998
1851,stephen white,2001
1854,jonathan kellerman,2001
1855,robert charles wilson,1999
1857,peter weber,1999
1859,oscar hijuelos,1992
1862,jude deveraux,1997
1866,jane feather,2003
1867,guinness media inc.,1999
1868,sue grafton,1995
1871,jack kerouac,1988
1873,j smith,1992
1875,j smith,1990
1877,mark victor hansen,2000
1878,lennart nilsson,1986
1885,fergus kelly,1997
1891,jon krakauer,1998
1892,gaston leroux,1990
1894,stephanie coontz,2000
1897,lynda barry,1999
1898,kurt vonnegut,1991
1905,david guterson,1995
1907,francesca lia block,1999
1908,stephen king,2002
1909,carol higgins clark,2002
1910,andrew pyper,2001
1913,amy ephron,1998
1914,orson scott card,2002
